path,bytes,extension,last_modified_epoch,candidate_latest_session,utility
projects\ForestVol\data\processed\971d6e25-8ff0-41d2-8784-c981dec7ccbf\point_cloud.ply,20894591,.ply,1782890333.4973428,True,Nube densa RAW/descargada; evidencia principal de geometria ya reconstruida.
experiments\cloud_unification\benchmark_after_unification.csv,868,.csv,1782786014.0,False,Metadatos/metricas; util para trazabilidad si pertenece a la corrida auditada.
experiments\cloud_unification\benchmark_after_unification.json,12398,.json,1782786014.0,False,Metadatos/metricas; util para trazabilidad si pertenece a la corrida auditada.
experiments\density_connectivity_audit\density_colored_cloud.ply,1693311,.ply,1782980555.8566272,False,Artefacto relacionado; utilidad dependiente de pertenencia a la corrida.
experiments\density_connectivity_audit\support_colored_cloud.ply,1695607,.ply,1782980556.4691508,False,Artefacto relacionado; utilidad dependiente de pertenencia a la corrida.
experiments\hito_0_5_close\dataset_definitivo_run_1\nodeodm_attempts.json,1727,.json,1782797961.0,False,Metadatos/metricas; util para trazabilidad si pertenece a la corrida auditada.
experiments\hito_0_5_close\dataset_definitivo_run_2\nodeodm_attempts.json,1727,.json,1782801843.0,False,Metadatos/metricas; util para trazabilidad si pertenece a la corrida auditada.
experiments\hito_0_5_close\set1_run_1\nodeodm_attempts.json,1726,.json,1782790643.0,False,Metadatos/metricas; util para trazabilidad si pertenece a la corrida auditada.
experiments\hito_0_5_close\set1_run_2\nodeodm_attempts.json,1726,.json,1782790911.0,False,Metadatos/metricas; util para trazabilidad si pertenece a la corrida auditada.
experiments\nodeodm_trace\nodeodm_parameter_diff.json,12194,.json,1782783185.0,False,Metadatos/metricas; util para trazabilidad si pertenece a la corrida auditada.
experiments\nodeodm_trace\nodeodm_reuse_check.json,4196,.json,1782784179.0,False,Metadatos/metricas; util para trazabilidad si pertenece a la corrida auditada.
experiments\nodeodm_trace\nodeodm_task_manifest.json,18349338,.json,1782782995.0,False,Metadatos/metricas; util para trazabilidad si pertenece a la corrida auditada.
experiments\nodeodm_trace\pointcloud_hashes.csv,1963,.csv,1782783183.0,False,Metadatos/metricas; util para trazabilidad si pertenece a la corrida auditada.
experiments\nodeodm_trace\pointcloud_hashes.json,36093,.json,1782783185.0,False,Metadatos/metricas; util para trazabilidad si pertenece a la corrida auditada.
experiments\nodeodm_trace\reconstruction_diff.json,50382,.json,1782783185.0,False,Estructura SfM/camaras/poses/tracks; util para soporte por vista si corresponde a la misma corrida.
experiments\nodeodm_trace\reconstruction_trace.json,24412905,.json,1782783185.0,False,Estructura SfM/camaras/poses/tracks; util para soporte por vista si corresponde a la misma corrida.
experiments\pipeline_diagnostics\cloud_comparison.json,16403,.json,1782782351.0,False,Metadatos/metricas; util para trazabilidad si pertenece a la corrida auditada.
experiments\pipeline_diagnostics\cloud_statistics.json,37296,.json,1782782351.0,False,Metadatos/metricas; util para trazabilidad si pertenece a la corrida auditada.
experiments\pipeline_diagnostics\nodeodm_opensfm_metrics.json,14312,.json,1782782146.0,False,Metadatos/metricas; util para trazabilidad si pertenece a la corrida auditada.
experiments\pipeline_stage_analysis\cloud_comparison.json,4453,.json,1782786726.0,False,Metadatos/metricas; util para trazabilidad si pertenece a la corrida auditada.
experiments\pipeline_stage_analysis\cloud_statistics.json,29406,.json,1782786726.0,False,Metadatos/metricas; util para trazabilidad si pertenece a la corrida auditada.
experiments\pipeline_stage_analysis\raw_cloud.ply,20495789,.ply,1782786655.0,False,Artefacto relacionado; utilidad dependiente de pertenencia a la corrida.
experiments\pipeline_stage_analysis\set1\raw_cloud.ply,20495789,.ply,1782786701.0,False,Artefacto relacionado; utilidad dependiente de pertenencia a la corrida.
experiments\pipeline_stage_analysis\set2\raw_cloud.ply,18960332,.ply,1782786719.0,False,Artefacto relacionado; utilidad dependiente de pertenencia a la corrida.
experiments\pipeline_stage_geometry_audit\01_nodeodm_point_cloud_scaled.ply,8311211,.ply,1782985345.9929652,False,Artefacto relacionado; utilidad dependiente de pertenencia a la corrida.
experiments\pipeline_stage_geometry_audit\02_after_clean_point_cloud.ply,8310782,.ply,1782985352.4735513,False,Artefacto relacionado; utilidad dependiente de pertenencia a la corrida.
experiments\volume_input_audit\selected_volume_cloud.ply,1714554,.ply,1782980012.2733488,False,Artefacto relacionado; utilidad dependiente de pertenencia a la corrida.
experiments\volumetric_reconstruction\camera_tsdf_outputs\camera_tsdf_results.json,8475,.json,1782697913.0383081,False,Modelo o resultado de camaras; util para cobertura si corresponde a la misma corrida.
experiments\volumetric_reconstruction\camera_tsdf_outputs\set1\camera_ray_tsdf_grid.npz,152013,.npz,1782697888.404183,False,Modelo o resultado de camaras; util para cobertura si corresponde a la misma corrida.
experiments\volumetric_reconstruction\camera_tsdf_outputs\set1\camera_ray_tsdf_mesh.ply,1333916,.ply,1782697703.159658,False,Malla/superficie; util para distinguir nube densa vs reconstruccion de superficie.
experiments\volumetric_reconstruction\camera_tsdf_outputs\set2\camera_ray_tsdf_grid.npz,71430,.npz,1782697901.7807798,False,Modelo o resultado de camaras; util para cobertura si corresponde a la misma corrida.
experiments\volumetric_reconstruction\camera_tsdf_outputs\set2\camera_ray_tsdf_mesh.ply,855752,.ply,1782697901.852388,False,Malla/superficie; util para distinguir nube densa vs reconstruccion de superficie.
experiments\volumetric_reconstruction\dense_depth_tsdf_alignment_outputs\dense_depth_tsdf_alignment_outputs\dense_depth_tsdf_results.json,33034,.json,1782700618.0,False,Artefacto de profundidad/TSDF; util para contrastar densificacion o MVS.
experiments\volumetric_reconstruction\dense_depth_tsdf_alignment_outputs\dense_depth_tsdf_alignment_outputs\set1\dense_depth_tsdf_grid.npz,18735,.npz,1782700592.0,False,Artefacto de profundidad/TSDF; util para contrastar densificacion o MVS.
experiments\volumetric_reconstruction\dense_depth_tsdf_alignment_outputs\dense_depth_tsdf_alignment_outputs\set1\dense_depth_tsdf_mesh.ply,198974,.ply,1782700592.0,False,Malla/superficie; util para distinguir nube densa vs reconstruccion de superficie.
